# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,
main,FRONTEND,,,362,913,50000,1610062,1381950604,8006704654,0,0,60673,,,,,OPEN,,,,,,,,,1,1,0,,,,0,264,0,1033,,,,0,1322771,218737,64892,37,3263,,258,1028,1609868,,,
python_8001,python_8001_fe1,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,0,1,3,1,3394,14,,1,2,1,,0,,2,0,,0,L4OK,,0,0,0,0,0,0,0,0,,,,0,0,
python_8001,python_8001_fe2,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,10,3,1056,34,,1,2,2,,0,,2,0,,0,L4OK,,0,0,0,0,0,0,0,0,,,,0,0,
python_8001,BACKEND,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,UP,1,1,1,,0,5217,0,,1,2,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
python_8002,python_8002_fe1,0,0,0,1,,8,2655,1302,,0,,0,0,0,0,UP,1,0,1,2,1,3394,14,,1,3,1,,8,,2,0,,1,L4OK,,0,0,8,0,0,0,0,0,,,,0,0,
python_8002,python_8002_fe2,0,0,0,1,,83,65128,13813,,0,,0,0,0,0,UP,1,1,0,4,2,4362,462,,1,3,2,,83,,2,0,,2,L4OK,,0,0,83,0,0,0,0,0,,,,0,0,
python_8002,BACKEND,0,0,0,1,0,91,67783,15115,0,0,,0,0,0,0,UP,1,1,1,,0,5217,0,,1,3,0,,91,,1,0,,2,,,,0,91,0,0,0,0,,,,,0,0,
python_8003,python_8003_fe1,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,0,1,2,1,3394,14,,1,4,1,,0,,2,0,,0,L4OK,,0,0,0,0,0,0,0,0,,,,0,0,
python_8003,python_8003_fe2,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,5,2,4792,32,,1,4,2,,0,,2,0,,0,L4OK,,0,0,0,0,0,0,0,0,,,,0,0,
python_8003,BACKEND,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,UP,1,1,1,,0,5217,0,,1,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,
