# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,
http-in,FRONTEND,,,1,34,100,326800,104019299,9010021505,0,0,435,,,,,OPEN,,,,,,,,,1,1,0,,,,0,2,0,26,,,,0,318227,20624,9678,300,0,,2,32,348830,,,
http-in,IPv4-direct,,,1,27,100,41383,20765881,718643890,0,0,422,,,,,OPEN,,,,,,,,,1,1,1,,,,3,,,,,,,,,,,,,,,,,,,
http-in,IPv4-cached,,,0,32,100,284604,83071976,8284757907,0,0,3,,,,,OPEN,,,,,,,,,1,1,2,,,,3,,,,,,,,,,,,,,,,,,,
http-in,IPv6-direct,,,0,4,100,813,181442,6619708,0,0,10,,,,,OPEN,,,,,,,,,1,1,3,,,,3,,,,,,,,,,,,,,,,,,,
http-in,local,,,0,0,100,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,1,4,,,,3,,,,,,,,,,,,,,,,,,,
www,www,0,0,0,10,10,224968,87839526,8782291746,,0,,0,6,0,0,UP,1,1,0,0,0,1713043,0,,1,2,1,,224932,,2,1,,32,L7OK,200,3,0,196515,20161,8283,0,0,0,,,,4279,5,
www,bck,0,0,0,0,10,0,0,0,,0,,0,0,0,0,UP,1,0,1,0,0,1713043,0,,1,2,2,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,0,,,,0,0,
www,BACKEND,0,7,0,18,100,224987,87857003,8782295414,0,0,,4,6,0,0,UP,1,1,1,,0,1713043,0,,1,2,0,,224932,,1,1,,32,,,,0,196515,20161,8298,13,0,,,,,4280,5,
git,www,0,0,0,2,2,4369,1354084,130318831,,0,,0,0,0,0,UP,1,1,0,0,0,1713043,0,,1,3,1,,3019,,2,0,,2,L7OK,200,5,0,3849,463,57,0,0,0,,,,545,0,
git,bck,0,0,0,0,2,0,0,0,,0,,0,0,0,0,UP,1,0,1,0,0,1713043,0,,1,3,2,,0,,2,0,,0,L7OK,200,2,0,0,0,0,0,0,0,,,,0,0,
git,BACKEND,0,30,0,32,2,4633,1769622,130374799,0,0,,264,0,0,0,UP,1,1,1,,0,1713043,0,,1,3,0,,3019,,1,0,,11,,,,0,3849,463,57,264,0,,,,,621,0,
demo,BACKEND,0,0,1,7,0,5115,1862549,79613109,0,0,,0,0,0,0,UP,0,0,0,,0,1713043,0,,1,15,0,,0,,1,1,,5,,,,0,5114,0,0,0,0,,,,,777,0,
